,DPEQ.SG1AG01,DPEQ.SG1AG02,DPEQ.SG1AG03,DPEQ.SG1AG04,DPEQ.SG1AG05,DPEQ.SG1AG06,DPEQ.SG1AG07,DPEQ.SG1AG08,DPEQ.SG1AG09,DPEQ.SG1AG10,DPEQ.SG1AG11,DPEQ.SG1AG12,DPEQ.SG1AG13,DPEQ.SG1AG14,DPEQ.SG1AG15,DPEQ.SG1AG16,DPEQ.SG1AG17,DPEQ.SG1AG85,DPEQ.SG1BG01,DPEQ.SG1BG02,DPEQ.SG1BG03,DPEQ.SG1BG04,DPEQ.SG1BG05,DPEQ.SG1BG06,DPEQ.SG1BG07,DPEQ.SG1BG08,DPEQ.SG1BG09,DPEQ.SG1BG10,DPEQ.SG1BG11,DPEQ.SG1BG12,DPEQ.SG1BG13,DPEQ.SG1BG14,DPEQ.SG1BG15,DPEQ.SG1BG16,DPEQ.SG1BG17,DPEQ.SG1BG85,
Mar-1991,146150,133080,132450,144920,142910,140330,138890,125420,121400,96470,83070,72360,73400,62160,44640,31680,17120,9000,139400,126250,127860,145170,144810,145430,143320,128410,122310,96590,83480,71640,73180,69080,57600,45960,30000,22100,
Jun-1991,147100,133280,132470,144050,143180,139290,139740,126090,122000,97040,84000,72110,73370,62450,44810,31900,17280,9100,140120,126600,127660,143970,144950,144490,144250,129120,122830,97120,84340,71680,72970,69080,57870,46360,30100,22300,
Sep-1991,148200,133500,132580,143060,143800,138590,140320,126940,122210,98120,84990,72080,73280,62740,45090,32020,17410,9200,141080,126810,127350,142910,145540,143700,145320,129980,123100,98200,85430,71700,73030,68990,58020,46740,30220,22400,
Dec-1991,149240,133820,132110,142340,144510,138610,141000,127670,122050,99700,86030,72120,73020,63150,45470,32220,17600,9400,141810,127320,126670,141610,146520,143660,146270,130740,122880,99960,86230,71970,72710,68980,58470,46960,30480,22700,
Mar-1992,150300,134050,132250,141660,145210,137890,142070,128190,122060,101170,87030,72120,72810,63380,46060,32400,17820,9500,142710,127400,126580,140810,146600,143110,147020,131360,122830,101260,87240,72200,72460,68910,58840,47180,30960,23000,
Jun-1992,150340,134460,132320,140860,145380,136860,142800,128840,122150,102350,87850,72120,72660,63520,46430,32460,17970,9600,142960,127710,126520,139410,146470,141920,147970,131960,122940,102360,88050,72340,72510,68610,59170,47250,31320,23300,
Sep-1992,150760,135150,132560,139650,145760,136290,143320,129460,122480,103720,88590,72240,72410,63820,46790,32330,18040,9600,143080,128430,126310,138350,146610,141370,148640,132830,123050,104050,88710,72450,72350,68550,59650,47220,31630,23300,
Dec-1992,150930,136020,132820,138580,146290,136530,144010,130140,122790,105570,88980,72490,72270,64110,47310,32260,18270,9800,143400,129180,126360,137140,147390,141510,149650,133580,123340,105830,89140,72880,72300,68610,60000,47180,32090,23600,
Mar-1993,151280,136860,133330,138290,146550,135970,144690,131180,122820,107600,89120,72770,71910,64460,47840,32240,18530,10000,143610,130120,126710,136490,147370,140750,150690,134600,123570,107810,89400,72990,72070,68730,60410,47220,32440,24000,
Jun-1993,151730,137710,133510,137500,146120,135470,145420,131820,122810,109310,89420,73010,71540,64730,48340,32220,18640,10100,143930,130880,126930,135500,146610,140520,151330,135420,123700,109540,89620,73330,71770,68760,60720,47310,32560,24400,
Sep-1993,151990,138630,134020,136770,145950,135250,145810,133020,123030,110690,90190,73550,71200,64930,48770,32190,18770,10100,143990,131850,127060,134600,146890,140080,151890,136610,124060,111080,90260,73780,71650,68760,60910,47290,32730,24500,
Dec-1993,152450,139490,134350,136040,146070,135760,146480,134210,123320,112480,90830,74030,71000,65190,49200,32220,19060,10300,144190,132730,127230,133710,147060,140900,152500,137680,124660,112780,90810,74460,71220,68960,61280,47330,32980,24900,
Mar-1994,152650,140420,134950,136000,145930,135850,146840,134980,124030,113840,91560,74420,70840,65370,49800,32240,19340,10500,144210,133690,127480,133490,146790,140780,152990,138880,125420,114010,91330,74990,71080,68920,61830,47320,33300,25400,
Jun-1994,152710,141130,135080,135870,145240,135560,146880,135950,124570,115010,92410,74640,70480,65720,50260,32040,19630,10600,144280,134520,127540,133020,145960,140650,153200,139880,126280,115050,92090,75190,70920,68910,62370,47010,33630,25700,
Sep-1994,152660,142490,135240,136010,144660,135810,146910,137070,125120,116550,92890,75320,70280,65790,51020,31680,19710,10600,144130,135680,127780,132670,145450,141070,153400,141120,127100,116510,92400,75950,70810,68780,63040,46540,33840,25800,
Dec-1994,152820,143620,135730,135570,144420,136710,147430,138180,125670,118290,93260,76080,70160,65830,51330,32090,19930,10700,144100,136990,128120,132000,145480,142040,154190,142130,127930,118100,92810,76980,70490,68780,63040,46900,34290,26100,
Mar-1995,153070,144780,136310,136060,144000,136960,147470,139490,126330,119640,93960,76670,69880,65930,51540,32650,20180,10900,144140,138160,128480,132210,145030,142550,154130,143470,128570,119380,93570,77720,70080,68830,62890,47550,34580,26500,
Jun-1995,153100,145790,136530,136410,142960,136640,147510,140560,127050,120350,94650,77680,69530,65900,51700,33130,20360,11000,143900,139250,128960,131890,143920,142510,154100,144620,129170,120190,94400,78610,69740,68740,62750,48230,34760,26800,
Sep-1995,152920,147510,137020,136890,142550,136970,147600,141930,128050,121520,95070,78890,69180,66090,51820,33420,20260,11000,143500,140770,129530,131810,143310,143200,154270,145950,130480,121220,94820,79920,69470,68750,62660,48590,34840,26800,
Dec-1995,152840,149070,137400,137070,141850,138520,147920,143420,128740,123070,95390,80170,68770,66230,52160,33800,20420,11200,143230,142030,129940,131880,142460,144660,154590,147600,131220,122700,95160,81070,69330,68900,62620,49100,34950,27200,
Mar-1996,152820,150570,137880,138000,141210,138990,148220,144400,129810,124220,96070,80920,68580,66300,52580,34050,20700,11400,142990,143280,130340,132730,141550,145410,154560,148980,132530,123770,95630,81840,69130,68930,62800,49400,35280,27500,
Jun-1996,152250,151730,138210,138180,140230,139110,147710,145580,130690,125000,96750,81790,68310,66320,52800,34230,20850,11500,142450,144100,130790,132640,140090,145750,154320,150250,133510,124450,96180,82670,69150,68720,62880,49520,35570,27700,
Sep-1996,151800,153060,138680,138380,139450,139490,147460,146590,131880,125400,97970,82850,68360,66270,53030,34460,20860,11500,142030,145440,131360,132670,139450,146400,154220,151800,134750,124930,97380,83800,69230,68750,62760,49640,35850,27600,
Dec-1996,151480,154430,139190,137700,139210,140540,147680,147570,132820,125350,99760,84000,68490,66120,53440,34890,21020,11700,142040,146530,132110,132030,138900,147660,154520,153080,135810,125010,99260,84700,69670,68520,62810,50100,36110,28000,
Mar-1997,150500,155790,139770,138250,138310,140670,147210,148780,133470,125440,101290,84980,68560,65970,53730,35430,21160,12000,141540,147680,132620,132480,138040,147590,154610,154340,136750,125210,100740,85730,70000,68330,62790,50450,36360,28600,
Jun-1997,150390,155920,140370,138200,137090,140080,146370,149610,134120,125490,102540,85840,68620,65940,53910,35760,21240,12200,141700,148060,133070,132660,136330,147310,153910,155660,137450,125460,101980,86590,70240,68410,62530,50860,36410,29000,
Sep-1997,150000,156510,141120,138420,136000,140050,145950,150370,134860,125810,104060,86600,68810,65780,54170,36070,21100,12200,141440,148420,134010,132790,135610,147250,153780,156720,138500,125690,103810,87350,70420,68310,62480,51280,36360,29200,
Dec-1997,149880,156680,141930,138200,135180,140330,145670,151080,135480,126040,106000,87030,69220,65660,54540,36550,21050,12400,141340,148780,134750,132760,134780,147620,153570,157740,139230,126140,105750,87870,70920,68340,62570,51600,36390,29600,
Mar-1998,149620,157010,142730,138430,134190,139700,144820,151750,136410,125960,108040,87130,69580,65370,54910,37090,21160,12700,141100,148980,135730,133000,133750,147040,152950,158910,140210,126280,107780,88230,71170,68160,62750,51990,36540,30100,
Jun-1998,149130,157350,143440,138280,132840,138400,144120,152410,136920,125860,109770,87430,69930,65090,55220,37580,21220,12800,140820,149150,136440,133110,132210,145690,152800,159720,140990,126390,109520,88540,71650,67950,62860,52250,36680,30500,
Sep-1998,148520,157390,144290,138480,131790,137320,143340,152640,137910,125920,111030,88260,70570,64880,55420,38000,21240,12900,140220,149070,137340,133200,131480,145360,152200,160230,142110,126720,110990,89200,72210,67970,62830,52470,36710,30800,
Dec-1998,147840,157520,144980,138330,131050,136980,142910,152780,138810,125990,112660,88960,71100,64830,55670,38420,21340,13100,139590,149000,138060,133010,131060,145220,152260,160500,143000,127140,112730,89790,73060,67610,63040,52850,36780,31200,
Mar-1999,147270,157340,145840,138450,129910,135750,142350,152860,139170,126280,113830,89670,71440,64790,55860,38890,21390,13400,139180,148630,138870,133060,130230,143980,151930,160780,143900,127600,113950,90330,73750,67590,62970,53380,36750,31700,
